medicine_id,drug_id,amount,unit
1,1,100,mg
1,2,325,mg
2,3,100,mg
3,4,75,mg
4,5,150,mg
5,6,500,mg
5,7,50,mg
5,2,325,mg
6,8,1.16,%w/w
7,9,10,mg
7,10,50,mg
8,11,100,mg
9,12,25/1,mg/ml
10,13,50,mg
11,14,120,mg
12,14,90,mg
13,15,400,mg
13,2,325,mg
14,16,200,mg
15,16,400,mg
16,17,25,mg
17,18,250,mg
18,19,100,mg
18,2,325,mg
19,19,100,mg
20,10,50,mg
20,2,325,mg
21,20,125/5,mg/ml
22,20,500,mg
23,21,30/1,mg/ml
24,22,10,mg
25,23,100/2,mg/ml
26,24,50,mg
27,25,50,mg
28,26,400,mg
29,27,100/2,mg/ml
30,27,250/2,mg/ml
31,27,500/2,mg/ml
32,28,500,mg
32,29,2,mg
33,30,1,g
33,31,200,mg
34,30,200,mg
34,31,28.5,mg
34,32,5,ml
35,30,250,mg
35,31,50,mg
36,30,500,mg
36,31,100,mg
37,30,500,mg
37,31,125,mg
38,30,250,mg
38,33,250,mg
39,34,125,mg
40,35,125/5,mg/ml
41,35,250,mg
42,35,500,mg
43,36,500,mg
44,18,100/5,mg/ml
45,37,100,mg
46,38,250,mg
47,39,500,mg
48,40,50/5,mg/ml
49,40,100,mg
50,40,200,mg
51,41,1,g
51,42,1,g
52,41,500,mg
52,42,500,mg
53,43,1,g
54,44,1,g
54,45,500,mg
55,44,250,mg
55,45,125,mg
56,44,500,mg
56,45,250,mg
57,46,1,g
58,46,250,mg
59,46,500,mg
60,47,100,mg
61,48,200,mg
62,49,1,g
63,49,250,mg
64,49,500,mg
65,50,1,g
65,42,500,mg
66,50,1,g
66,51,125,mg
67,18,500,mg
68,50,250,mg
68,42,125,mg
69,50,500,mg
69,42,250,mg
70,52,1,g
71,52,250,mg
72,52,500,mg
73,53,250,mg
74,53,500,mg
75,54,125,mg
76,54,250,mg
77,54,500,mg
78,55,250,mg
78,56,300,mg
79,55,500,mg
79,56,600,mg
80,57,250,mg
81,57,500,mg
82,58,1,%w/w
86,59,100,mg
87,60,250,mg
88,61,80/2,mg/ml
89,62,250,mg
90,62,500,mg
91,63,1,g
92,64,400,mg
92,56,600,mg
93,65,400,mg
94,66,200,mg
94,67,500,mg
95,68,200,mg
96,68,400,mg
97,69,4000,mg
97,70,500,mg
98,71,150,mg
99,71,300,mg
100,72,300,mg
101,72,500,mg
102,73,500,mg
103,74,0.1,%w/w
104,75,0.025,%w/w
104,76,1,%w/w
104,77,0.1,%w/w
105,78,0.025,%w/w
105,79,0.5,%w/w
107,80,0.2,%w/v
108,81,0.05,%w/w
109,82,2,%w/w
110,83,2,%w/v
111,84,5,%w/w
112,84,5,%w/w
113,85,10,%w/v
114,85,5,%w/v
115,84,7.5,%w/v
116,86,1,%w/w
116,87,0.2,%w/w
116,88,0.1,%w/w
116,89,15,%w/w
117,86,1,%w/w
117,87,0.2,%w/w
117,88,0.1,%w/w
117,89,15,%w/w
118,90,2.5,mg
119,90,5,mg
120,91,40,mg
121,91,80,mg
122,92,1,mg
123,92,2,mg
124,93,5,mg
125,94,40,iu
126,95,40,iu
127,96,1000,mg
128,97,500,mg
129,98,30,mg
130,99,15,mg
130,100,500,mg
131,101,15,iu
132,102,10/10,mg/ml
133,103,50/50,mg/ml
134,104,50,mg
135,105,100/5,mg/ml
136,106,1000,mg
137,106,200,mg
138,107,10,mg
139,107,20,mg
140,108,200,mg
141,109,20,%w/v
142,110,20,%w/v
143,111,500,mg
144,112,200/5,mg/ml
145,113,400,mg
145,114,6,mg
146,115,5,mg
147,116,275,mg
147,117,2,mg
147,118,5,ml
148,119,10,mg
149,2,325,mg
149,120,20,mg
150,121,10,mg
151,121,5/5,mg/ml
152,122,250,mg
152,123,250,mg
152,124,50,mg
153,125,20,mg
154,125,40,mg
155,126,100,mg
156,127,10,mg
158,128,10/15,g
159,122,250,mg
159,123,250,mg
159,124,50/5,mg/ml
160,129,10,mg
161,129,5/1,mg/ml
162,130,200,mg
163,130,400,mg
164,131,200,mcg
165,132,20,mg
165,133,10,mg
166,134,20,mg
167,135,2/1,mg/ml
168,135,4,mg
169,136,500,mg
170,137,40,mg
171,138,40,mg
172,139,20,mg
172,133,30,mg
173,140,20,mg
174,141,25/1,mg/ml
175,141,150,mg
176,141,300,mg
177,142,500,mg
177,143,250,iu
178,144,10,mg
178,145,10,mg
178,146,2.5,mg
179,147,5,mg
185,148,1/2,mg/ml
186,149,100,mcg
187,149,200,mcg
188,150,5/5,mg/ml
189,151,10,mg
190,152,77,mg
190,153,23,mg
191,154,120,mg
192,155,180,mg
193,156,5,mg
194,157,5,mg
195,157,10,mg
196,158,10,mg
196,159,5,mg
197,160,25,mg
198,161,5/5,mg/ml
199,162,100,mcg
200,163,2,mg
201,163,2/5,mg/ml
202,163,4,mg
203,164,6/2,mg/ml
204,165,5,mg
204,166,50,mg
205,167,5,mg
206,168,50,mg
